"country","retailer","retailer_slug","product_family","brand","device_type","model","capacity_gb","offer_type","price_value","price_text","price_unit","term_months","in_stock","data_quality_tier","price_capture_kind","extracted_at","source_url","source_title"
"ES","Movistar","movistar","Samsung","Samsung","mobile","Samsung Galaxy A36 5G",128,"cash",299.0,"299.00 EUR","EUR","",False,"movistar_adapter_live","embedded_json_exact","2026-03-25T14:48:18.051089+00:00","https://www.movistar.es/moviles/samsung-galaxy-a36-5g-128gb-negro/","Samsung Galaxy A36 5G"
"ES","Movistar","movistar","Samsung","Samsung","mobile","Samsung Galaxy S25 FE 5G",128,"cash",629.0,"629.00 EUR","EUR","",False,"movistar_adapter_live","embedded_json_exact","2026-03-25T14:48:29.348466+00:00","https://www.movistar.es/moviles/samsung-galaxy-s25-fe-128gb-negrointenso/","Samsung Galaxy S25 FE 128 GB"
"ES","Movistar","movistar","Samsung","Samsung","mobile","Samsung Galaxy S25 FE 5G",128,"renting_no_insurance",7.0,"7.00 EUR","EUR/month",48,False,"movistar_adapter_live","embedded_json_exact","2026-03-25T14:48:29.349492+00:00","https://www.movistar.es/moviles/samsung-galaxy-s25-fe-128gb-negrointenso/","Samsung Galaxy S25 FE 128 GB"
"ES","Movistar","movistar","Apple","Apple","mobile","Apple iPhone 16e",128,"cash",589.0,"589.00 EUR","EUR","",True,"movistar_adapter_live","embedded_json_exact","2026-03-25T14:58:13.226225+00:00","https://www.movistar.es/moviles/apple-iphone-16e-128gb-blanco/","iPhone 16e 128 GB"
"ES","Movistar","movistar","Apple","Apple","mobile","Apple iPhone 16e",128,"renting_no_insurance",8.5,"8.50 EUR","EUR/month",48,True,"movistar_adapter_live","embedded_json_exact","2026-03-25T14:58:13.226225+00:00","https://www.movistar.es/moviles/apple-iphone-16e-128gb-blanco/","iPhone 16e 128 GB"
"ES","Movistar","movistar","Apple","Apple","mobile","Apple iPhone 17e",256,"cash",709.0,"709.00 EUR","EUR","",True,"movistar_adapter_live","embedded_json_exact","2026-03-25T14:58:24.215322+00:00","https://www.movistar.es/moviles/apple-iphone-17e-256gb-rosa/","iPhone 17e 256 GB"
"ES","Movistar","movistar","Apple","Apple","mobile","Apple iPhone 17e",256,"renting_no_insurance",11.0,"11.00 EUR","EUR/month",48,True,"movistar_adapter_live","embedded_json_exact","2026-03-25T14:58:24.215322+00:00","https://www.movistar.es/moviles/apple-iphone-17e-256gb-rosa/","iPhone 17e 256 GB"
"ES","Movistar","movistar","Apple","Apple","mobile","Apple iPhone 17e",512,"cash",959.0,"959.00 EUR","EUR","",True,"movistar_adapter_live","embedded_json_exact","2026-03-25T14:58:24.215322+00:00","https://www.movistar.es/moviles/apple-iphone-17e-256gb-rosa/","iPhone 17e 512 GB"
"ES","Movistar","movistar","Apple","Apple","mobile","Apple iPhone 17e",512,"renting_no_insurance",16.0,"16.00 EUR","EUR/month",48,True,"movistar_adapter_live","embedded_json_exact","2026-03-25T14:58:24.215322+00:00","https://www.movistar.es/moviles/apple-iphone-17e-256gb-rosa/","iPhone 17e 512 GB"
"ES","Movistar","movistar","Apple","Apple","mobile","Apple iPhone 17",256,"cash",959.0,"959.00 EUR","EUR","",True,"movistar_adapter_live","embedded_json_exact","2026-03-25T14:58:28.613160+00:00","https://www.movistar.es/moviles/apple-iphone-17-256gb-verdesalvia/","iPhone 17 256 GB"
"ES","Movistar","movistar","Apple","Apple","mobile","Apple iPhone 17",256,"renting_no_insurance",19.0,"19.00 EUR","EUR/month",36,True,"movistar_adapter_live","embedded_json_exact","2026-03-25T14:58:28.613160+00:00","https://www.movistar.es/moviles/apple-iphone-17-256gb-verdesalvia/","iPhone 17 256 GB"
