country,retailer,retailer_slug,product_family,brand,device_type,model,capacity_gb,product_code,offer_type,price_value,total_cost,price_text,price_unit,term_months,in_stock,data_quality_tier,extracted_at,source_url,source_title,source_snapshot,source_snapshots
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone Air,512,MG2Q4QL_A,cash,1229.0,1229.0,1229.00 EUR,EUR,,True,santander_api_live,2026-04-09T09:27:20.846353+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17-Air/p/MG2Q4QL_A,iPhone Air,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone Air,1024,MG2W4QL_A,renting_no_insurance,41.99,1511.64,41.99 EUR,EUR/month,36,True,santander_api_live,2026-04-09T09:27:21.528636+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17-Air/p/MG2W4QL_A,iPhone Air,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone Air,1024,MG2W4QL_A,renting_with_insurance,47.0,1692.0,47.00 EUR,EUR/month,36,True,santander_api_live,2026-04-09T09:27:21.528636+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17-Air/p/MG2W4QL_A,iPhone Air,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone Air,1024,MG2W4QL_A,financing_max_term,55.92,1677.6,55.92 EUR,EUR/month,30,True,santander_api_live,2026-04-09T09:27:21.528636+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17-Air/p/MG2W4QL_A,iPhone Air,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone Air,1024,MG2W4QL_A,financing_max_term,64.89,1557.36,64.89 EUR,EUR/month,24,True,santander_api_live,2026-04-09T09:27:21.528636+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17-Air/p/MG2W4QL_A,iPhone Air,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone Air,1024,MG2W4QL_A,financing_max_term,84.13,1514.34,84.13 EUR,EUR/month,18,True,santander_api_live,2026-04-09T09:27:21.528636+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17-Air/p/MG2W4QL_A,iPhone Air,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone Air,1024,MG2W4QL_A,financing_max_term,123.25,1479.0,123.25 EUR,EUR/month,12,True,santander_api_live,2026-04-09T09:27:21.528636+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17-Air/p/MG2W4QL_A,iPhone Air,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone Air,1024,MG2W4QL_A,financing_max_term,246.5,1479.0,246.50 EUR,EUR/month,6,True,santander_api_live,2026-04-09T09:27:21.528636+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17-Air/p/MG2W4QL_A,iPhone Air,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone Air,1024,MG2W4QL_A,financing_max_term,493.0,1479.0,493.00 EUR,EUR/month,3,True,santander_api_live,2026-04-09T09:27:21.528636+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17-Air/p/MG2W4QL_A,iPhone Air,,
ES,Santander Boutique,santander_boutique,Apple,Apple,mobile,Apple iPhone Air,1024,MG2W4QL_A,cash,1479.0,1479.0,1479.00 EUR,EUR,,True,santander_api_live,2026-04-09T09:27:21.528636+00:00,https://boutique.bancosantander.es/es/Cat%C3%A1logo/Apple/iPhone/iPhone-17-Air/p/MG2W4QL_A,iPhone Air,,
